Timestamp,breakfast,productivetime,music,environment,superpowers,timetravel
17/10/2024 13:57,Egg and bacon,Late morining,Pop,By the coast,Flying,Future
17/10/2024 13:58,Smoothie or Yogurt,Evening,Pop,By the coast,Flying,Future
17/10/2024 13:59,Smoothie or Yogurt,Early morning,Pop,Urban City,Invisibility,Future
17/10/2024 14:00,Egg and bacon,Late morining,Jazz,Urban City,Flying,Stay in the present
17/10/2024 14:01,Pancakes,Afternoon,Rock,Urban City,Invisibility,Past
17/10/2024 14:01,Egg and bacon,Early morning,Jazz,Countryside,Time travel,Future
17/10/2024 14:03,Pancakes,Evening,Jazz,By the coast,Flying,Future
17/10/2024 14:06,Pancakes,Evening,Classical,Suburbs,Time travel,Past
17/10/2024 14:08,Smoothie or Yogurt,Early morning,Pop,By the coast,Invisibility,Future
17/10/2024 14:08,Pancakes,Late morining,Pop,Urban City,Flying,Past
17/10/2024 14:14,Egg and bacon,Late morining,Jazz,Urban City,Time travel,Past
17/10/2024 14:15,Smoothie or Yogurt,Afternoon,Electronic music,Countryside,Time travel,Stay in the present
17/10/2024 14:16,Smoothie or Yogurt,Early morning,Rock,Urban City,Flying,Stay in the present
17/10/2024 16:04,"Just coffee, no breakfast for me",Evening,Rock,By the coast,Time travel,Past
17/10/2024 17:07,croissant and coffee,Late morining,Lofi,Urban City,Time travel,Future
17/10/2024 20:39,"Just coffee, no breakfast for me",Evening,Pop,Urban City,Time travel,Future
20/10/2024 14:42,not a breakfast fan,Early morning,all genres... depending on my mood,Suburbs,Time travel,Future
